"NÚMERO","SECCIÓN","CAS.","DIFERENCIA ENTRE 1° Y  2° LUGAR","PAN","PRI","PRD","PVEM","PT","MC","MORENA","RSPD","PAN-PRI-PRD","PAN 
PRI","PAN 
PRD","PRI 
PRD","PVEM-PT-RSPD-MOR","PVEM 
PT 
MOR","PVEM 
PT 
RSPD","PVEM 
RSPD 
MOR","PVEM 
PT","PVEM 
MOR","PVEM 
RSPD","PT 
RSPD 
MOR","PT 
MOR","PT 
RSPD","RSPD 
MOR","VA POR DURANGO","JUNTOS HACEMOS HISTORIA","CAND. 
NO REG.","VOTOS 
NULOS","...32","LISTA NOMINAL","...34","...35","...36","...37","municipality","...25","...27","...28","...29","...30","...31","...33","CAND.  
INDEP.","PVEM 
RSPD 
MOR...21","PVEM 
RSPD 
MOR...25","...38","PARTIDO ACCIÓN NACIONAL","PARTIDO REVOLUCIONARIO INSTITUCIONAL","PARTIDO VERDE ECOLOGISTA DE MÉXICO","PARTIDO DEL TRABAJO","CANDIDATURA NO REGISTRADA","VOTOS NULOS","...12","...14","...26","PVEM 
PT 
RSP","PVEM 
RSP 
MOR","PVEM 
RSPD 
MOR...20","PVEM 
RSPD 
MOR...24"
"MUN 05",255,"4",75,182,268,26,11,150,176,225,10,5,22,0,0,0,3,0,NA,0,1,0,NA,19,3,0,503,428,0,19,NA,2631,NA,0.432915241353098,NA,503," DURANGO",NA,NA,NA,NA,NA,NA,1139,13,2,4,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389",256,"B1",93,85,89,7,3,41,97,50,5,8,13,0,0,0,0,0,NA,1,0,0,NA,6,1,0,202,109,1,8,NA,728,NA,0.575549450549451,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,419,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",256,"C1",91,81,95,7,2,33,76,57,8,4,9,0,1,0,0,0,NA,0,0,0,NA,4,1,0,197,106,0,5,NA,727,NA,0.530949105914718,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,386,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",256,"2",184,166,184,14,5,74,173,107,13,12,22,0,1,0,0,0,NA,1,0,0,NA,10,2,0,399,215,1,13,NA,1455,NA,0.553264604810997,NA,399," DURANGO",NA,NA,NA,NA,NA,NA,805,4,0,3,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",257,"B1",9,36,48,3,1,37,52,46,2,4,9,1,0,0,0,0,NA,0,0,0,NA,5,0,1,101,92,0,6,NA,508,NA,0.503937007874016,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,256,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",257,"C1",30,53,62,1,3,24,49,58,6,2,8,0,0,0,2,1,NA,0,0,0,NA,2,0,0,126,96,0,3,NA,507,NA,0.554240631163708,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,281,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",257,"2",39,89,110,4,4,61,101,104,8,6,17,1,0,0,2,1,NA,0,0,0,NA,7,0,1,227,188,0,9,NA,1015,NA,0.529064039408867,NA,227," DURANGO",NA,NA,NA,NA,NA,NA,537,12,0,0,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",258,"B1",101,78,70,4,0,27,57,33,0,2,9,0,0,0,1,0,NA,0,0,0,NA,1,0,0,163,62,0,4,NA,457,NA,0.62800875273523,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,287,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",258,"C1",81,78,68,1,4,25,52,44,3,7,6,0,0,0,0,0,NA,0,0,0,NA,0,2,0,160,79,0,2,NA,457,NA,0.647702407002188,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,296,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",258,"2",182,156,138,5,4,52,109,77,3,9,15,0,0,0,1,0,NA,0,0,0,NA,1,2,0,323,141,0,6,NA,914,NA,0.637855579868709,NA,323," DURANGO",NA,NA,NA,NA,NA,NA,583,4,0,1,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",259,"B1",7,46,45,2,3,36,34,44,2,0,7,0,0,1,1,0,NA,0,1,0,NA,4,0,0,100,93,0,9,NA,457,NA,0.518599562363239,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,237,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",259,"C1",13,52,52,1,5,33,28,50,5,2,4,1,0,0,1,0,NA,0,0,0,NA,2,0,1,112,99,0,5,NA,457,NA,0.538293216630197,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,246,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",259,"2",20,98,97,3,8,69,62,94,7,2,11,1,0,1,2,0,NA,0,1,0,NA,6,0,1,212,192,0,14,NA,914,NA,0.528446389496718,NA,212," DURANGO",NA,NA,NA,NA,NA,NA,483,3,0,3,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",260,"B1",50,50,88,1,2,26,69,50,9,1,4,0,0,1,1,0,NA,0,0,0,NA,4,1,0,144,94,0,10,NA,626,NA,0.512779552715655,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,321,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398",260,"C1",40,41,76,4,1,38,68,47,3,3,6,1,0,0,0,0,NA,0,0,0,NA,2,0,0,131,91,0,6,NA,625,NA,0.4784,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,299,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",260,"2",90,91,164,5,3,64,137,97,12,4,10,1,0,1,1,0,NA,0,0,0,NA,6,1,0,275,185,0,16,NA,1251,NA,0.495603517186251,NA,275," DURANGO",NA,NA,NA,NA,NA,NA,620,7,0,0,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",261,"B1",107,114,105,2,1,42,77,64,5,2,3,0,1,2,0,0,NA,0,0,0,NA,5,0,0,227,120,0,3,NA,692,NA,0.622832369942196,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,431,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",261,"1",107,114,105,2,1,42,77,64,5,2,3,0,1,2,0,0,NA,0,0,0,NA,5,0,0,227,120,0,3,NA,692,NA,0.622832369942196,NA,227," DURANGO",NA,NA,NA,NA,NA,NA,431,4,0,1,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400",262,"B1",39,50,74,9,2,40,62,48,6,5,3,0,1,0,0,0,NA,0,0,0,NA,4,3,0,142,103,0,10,NA,565,NA,0.568141592920354,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,321,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401",262,"C1",22,59,55,8,4,39,53,53,2,2,5,0,0,1,0,0,NA,0,0,0,NA,6,0,0,129,107,0,4,NA,564,NA,0.528368794326241,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,298,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",262,"C2",43,62,59,7,3,33,44,55,1,6,6,0,0,0,2,0,NA,0,0,0,NA,1,1,1,140,97,0,6,NA,564,NA,0.512411347517731,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,289,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",262,"3",104,171,188,24,9,112,159,156,9,13,14,0,1,1,2,0,NA,0,0,0,NA,11,4,1,411,307,0,20,NA,1693,NA,0.536326048434731,NA,411," DURANGO",NA,NA,NA,NA,NA,NA,908,11,0,2,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",263,"B1",79,68,92,2,1,38,53,41,7,5,7,0,0,2,0,0,NA,0,0,0,NA,5,0,0,174,95,0,6,NA,667,NA,0.493253373313343,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,329,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",263,"1",79,68,92,2,1,38,53,41,7,5,7,0,0,2,0,0,NA,0,0,0,NA,5,0,0,174,95,0,6,NA,667,NA,0.493253373313343,NA,174," DURANGO",NA,NA,NA,NA,NA,NA,329,1,0,1,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",264,"B1",63,80,80,2,1,36,69,54,8,2,6,0,0,0,0,0,NA,1,0,0,NA,5,1,1,170,107,0,5,NA,635,NA,0.55748031496063,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,354,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",264,"1",63,80,80,2,1,36,69,54,8,2,6,0,0,0,0,0,NA,1,0,0,NA,5,1,1,170,107,0,5,NA,635,NA,0.55748031496063,NA,170," DURANGO",NA,NA,NA,NA,NA,NA,354,3,0,0,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",265,"B1",88,91,71,2,3,21,66,47,3,5,1,0,0,2,0,0,NA,0,0,0,NA,4,1,0,170,82,0,5,NA,511,NA,0.63600782778865,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,325,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",265,"1",88,91,71,2,3,21,66,47,3,5,1,0,0,2,0,0,NA,0,0,0,NA,4,1,0,170,82,0,5,NA,511,NA,0.63600782778865,NA,170," DURANGO",NA,NA,NA,NA,NA,NA,325,2,0,1,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406",266,"B1",147,97,114,5,3,25,79,46,2,5,4,0,1,0,0,0,NA,0,0,0,NA,0,2,0,226,79,0,0,NA,694,NA,0.556195965417867,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,386,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",266,"1",147,97,114,5,3,25,79,46,2,5,4,0,1,0,0,0,NA,0,0,0,NA,0,2,0,226,79,0,0,NA,694,NA,0.556195965417867,NA,226," DURANGO",NA,NA,NA,NA,NA,NA,386,2,0,1,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",267,"B1",95,97,91,2,1,46,67,57,2,6,8,0,0,0,0,0,NA,0,0,0,NA,3,0,0,204,109,0,7,NA,682,NA,0.57624633431085,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,393,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",267,"1",95,97,91,2,1,46,67,57,2,6,8,0,0,0,0,0,NA,0,0,0,NA,3,0,0,204,109,0,7,NA,682,NA,0.57624633431085,NA,204," DURANGO",NA,NA,NA,NA,NA,NA,393,6,0,0,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",268,"B1",99,115,56,4,1,33,55,47,2,8,4,0,0,0,0,0,NA,0,0,0,NA,2,1,0,187,88,0,2,NA,544,NA,0.610294117647059,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,332,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",268,"1",99,115,56,4,1,33,55,47,2,8,4,0,0,0,0,0,NA,0,0,0,NA,2,1,0,187,88,0,2,NA,544,NA,0.610294117647059,NA,187," DURANGO",NA,NA,NA,NA,NA,NA,332,0,0,2,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409",269,"B1",87,89,60,4,1,24,44,45,2,4,6,0,0,1,0,0,NA,0,0,0,NA,3,0,0,163,76,0,3,NA,517,NA,0.562862669245648,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,291,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",269,"C1",90,97,67,1,3,31,34,39,3,2,6,0,0,2,0,0,NA,0,0,0,NA,2,3,0,173,83,1,6,NA,516,NA,0.583333333333333,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,301,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",269,"2",177,186,127,5,4,55,78,84,5,6,12,0,0,3,0,0,NA,0,0,0,NA,5,3,0,336,159,1,9,NA,1033,NA,0.573088092933204,NA,336," DURANGO",NA,NA,NA,NA,NA,NA,592,9,0,0,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",270,"B1",100,105,76,3,4,32,57,55,1,4,10,0,0,1,0,1,NA,0,0,0,NA,4,0,0,198,98,0,2,NA,620,NA,0.579032258064516,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,359,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",270,"C1",61,102,58,3,3,35,59,64,2,1,8,0,1,1,0,0,NA,1,0,0,NA,6,0,0,173,112,0,3,NA,619,NA,0.570274636510501,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,353,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",270,"2",161,207,134,6,7,67,116,119,3,5,18,0,1,2,0,1,NA,1,0,0,NA,10,0,0,371,210,0,5,NA,1239,NA,0.574656981436642,NA,371," DURANGO",NA,NA,NA,NA,NA,NA,712,10,0,0,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",271,"B1",102,100,65,2,1,32,64,36,3,5,5,0,0,0,1,0,NA,0,1,0,NA,0,0,0,177,75,0,2,NA,524,NA,0.616412213740458,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,323,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",271,"C1",78,76,72,0,3,24,66,41,3,4,2,0,0,0,1,0,NA,0,0,0,NA,4,0,0,154,76,0,3,NA,524,NA,0.57824427480916,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,303,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",271,"C2",93,88,67,1,2,16,65,52,2,5,8,0,0,0,1,0,NA,0,0,0,NA,3,0,0,169,76,0,3,NA,523,NA,0.606118546845124,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,317,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",271,"3",273,264,204,3,6,72,195,129,8,14,15,0,0,0,3,0,NA,0,1,0,NA,7,0,0,500,227,0,8,NA,1571,NA,0.600254614894971,NA,500," DURANGO",NA,NA,NA,NA,NA,NA,943,13,1,0,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",272,"B1",99,95,88,15,1,37,85,65,4,5,8,0,0,0,0,0,NA,0,0,0,NA,3,0,1,211,112,1,7,NA,749,NA,0.560747663551402,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,420,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",272,"1",99,95,88,15,1,37,85,65,4,5,8,0,0,0,0,0,NA,0,0,0,NA,3,0,1,211,112,1,7,NA,749,NA,0.560747663551402,NA,211," DURANGO",NA,NA,NA,NA,NA,NA,420,4,0,1,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",273,"B1",12,38,42,0,2,31,53,34,1,3,6,0,0,1,0,1,NA,0,0,0,NA,6,1,0,89,77,2,3,NA,487,NA,0.459958932238193,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,224,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",273,"C1",23,45,45,3,0,29,48,32,5,3,3,0,0,2,0,1,NA,0,0,0,NA,5,1,0,99,76,0,7,NA,487,NA,0.474332648870637,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,231,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",273,"2",35,83,87,3,2,60,101,66,6,6,9,0,0,3,0,2,NA,0,0,0,NA,11,2,0,188,153,2,10,NA,974,NA,0.467145790554415,NA,188," DURANGO",NA,NA,NA,NA,NA,NA,455,1,0,1,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",274,"B1",22,29,37,5,0,36,45,51,5,1,7,0,0,0,2,0,NA,0,0,0,NA,5,1,0,79,101,0,4,NA,456,NA,0.50219298245614,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,229,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",274,"C1",1,40,26,4,2,34,42,37,2,4,3,0,0,0,0,0,NA,0,0,0,NA,2,0,1,77,78,0,3,NA,456,NA,0.440789473684211,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,201,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",274,"2",23,69,63,9,2,70,87,88,7,5,10,0,0,0,2,0,NA,0,0,0,NA,7,1,1,156,179,0,7,NA,912,NA,0.471491228070175,NA,179," DURANGO",NA,NA,NA,NA,NA,NA,430,1,0,1,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",275,"B1",35,71,53,2,2,23,57,59,1,1,3,0,0,3,0,0,NA,0,1,0,NA,6,0,0,130,95,0,4,NA,577,NA,0.504332755632582,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,291,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",275,"C1",43,46,70,0,6,25,69,42,3,4,4,0,1,1,0,0,NA,0,1,0,NA,4,0,0,125,82,0,4,NA,577,NA,0.497400346620451,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,287,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",275,"C2",57,52,74,2,4,23,57,39,3,2,4,0,0,3,1,0,NA,0,0,0,NA,3,0,1,134,77,0,0,NA,576,NA,0.473958333333333,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,273,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",275,"3",135,169,197,4,12,71,183,140,7,7,11,0,1,7,1,0,NA,0,2,0,NA,13,0,1,389,254,0,8,NA,1730,NA,0.491907514450867,NA,389," DURANGO",NA,NA,NA,NA,NA,NA,851,17,0,0,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",276,"B1",64,86,68,3,2,45,68,49,5,3,7,0,0,0,0,0,NA,0,0,0,NA,2,0,0,167,103,0,6,NA,705,NA,0.49645390070922,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,350,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",276,"C1",112,107,81,2,3,34,77,42,3,3,3,0,0,0,0,0,NA,0,0,0,NA,2,0,0,196,84,0,3,NA,705,NA,0.514893617021277,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,363,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",276,"C2",106,106,91,2,7,39,64,52,2,5,4,0,0,0,0,0,NA,0,0,0,NA,2,0,0,208,102,0,3,NA,705,NA,0.540425531914894,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,381,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427",276,"C3",106,105,91,2,7,39,64,52,2,5,4,0,0,0,0,0,NA,0,0,0,NA,1,0,0,207,101,0,4,NA,705,NA,0.539007092198582,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,380,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",276,"C4",72,69,93,4,0,44,70,49,5,7,5,0,0,1,1,0,NA,0,0,0,NA,4,0,0,178,106,0,5,NA,705,NA,0.516312056737589,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,364,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",276,"C5",87,90,84,3,1,45,89,53,1,6,7,0,0,1,0,0,NA,1,0,0,NA,1,0,0,190,103,1,5,NA,704,NA,0.555397727272727,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,391,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",276,"C6",134,109,91,3,1,27,74,45,2,5,7,0,1,1,0,0,NA,0,0,0,NA,5,0,0,216,82,0,8,NA,704,NA,0.548295454545455,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,386,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",276,"C7",78,89,81,4,1,40,67,53,6,3,5,0,0,0,0,0,NA,0,0,0,NA,3,0,0,182,104,0,3,NA,704,NA,0.511363636363636,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,360,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",276,"C8",60,87,71,4,1,46,78,53,6,4,7,0,0,0,0,0,NA,0,0,0,NA,4,2,1,173,113,0,5,NA,704,NA,0.528409090909091,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,372,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",276,"C9",48,66,70,8,2,35,73,59,8,6,8,0,0,1,0,0,NA,0,0,0,NA,4,0,1,158,110,1,7,NA,704,NA,0.497159090909091,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,350,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",276,"C10",71,91,68,4,2,44,78,48,3,5,4,0,0,1,1,0,NA,0,0,0,NA,1,0,0,172,101,1,2,NA,704,NA,0.505681818181818,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,356,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",276,"11",938,1005,889,39,27,438,802,555,43,52,61,0,1,5,2,0,NA,1,0,0,NA,29,2,2,2047,1109,3,51,NA,7749,NA,0.523035230352303,NA,2047," DURANGO",NA,NA,NA,NA,NA,NA,4053,41,0,5,1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435",277,"B1",12,29,60,1,0,35,25,40,1,2,3,0,0,0,2,0,NA,0,0,0,NA,5,0,0,95,83,0,5,NA,692,NA,0.304913294797688,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,211,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",277,"C1",46,33,64,7,1,26,22,34,1,0,10,0,1,2,0,0,NA,1,0,0,NA,4,0,0,115,69,0,12,NA,692,NA,0.316473988439306,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,219,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",277,"2",58,62,124,8,1,61,47,74,2,2,13,0,1,2,2,0,NA,1,0,0,NA,9,0,0,210,152,0,17,NA,1384,NA,0.310693641618497,NA,210," DURANGO",NA,NA,NA,NA,NA,NA,430,4,0,0,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437",278,"B1",49,52,57,9,0,41,8,30,3,1,7,0,0,0,0,0,NA,0,0,0,NA,3,0,0,126,77,0,11,NA,537,NA,0.415270018621974,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,223,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438",278,"C1",43,37,54,5,2,25,22,28,2,2,6,0,0,0,0,0,NA,0,0,0,NA,4,0,0,104,61,0,8,NA,536,NA,0.363805970149254,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,195,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439",278,"C2",56,38,68,4,1,31,27,21,0,1,3,0,1,0,1,0,NA,0,0,0,NA,3,2,0,115,59,0,5,NA,536,NA,0.384328358208955,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,206,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",278,"3",148,127,179,18,3,97,57,79,5,4,16,0,1,0,1,0,NA,0,0,0,NA,10,2,0,345,197,0,24,NA,1609,NA,0.387818520820385,NA,345," DURANGO",NA,NA,NA,NA,NA,NA,624,1,0,0,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440",279,"B1",31,36,65,3,2,25,34,47,2,2,2,1,0,0,0,0,NA,0,0,0,NA,1,0,0,109,78,0,7,NA,621,NA,0.37037037037037,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,230,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441",279,"C1",21,46,56,6,3,43,32,40,4,4,4,0,0,0,0,0,NA,0,0,0,NA,4,0,1,116,95,0,6,NA,620,NA,0.408064516129032,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,253,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",279,"2",52,82,121,9,5,68,66,87,6,6,6,1,0,0,0,0,NA,0,0,0,NA,5,0,1,225,173,0,13,NA,1241,NA,0.389202256244964,NA,225," DURANGO",NA,NA,NA,NA,NA,NA,483,6,0,1,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442",280,"B1",41,57,82,4,3,42,64,58,3,3,4,0,0,0,0,0,NA,0,0,0,NA,2,1,0,150,109,0,4,NA,691,NA,0.481910274963821,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,333,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443",280,"C1",52,66,65,6,2,35,65,51,1,5,3,0,0,1,0,0,NA,0,0,0,NA,2,0,0,145,93,0,3,NA,691,NA,0.450072358900145,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,311,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444",280,"C2",26,65,65,8,1,45,77,65,3,2,3,0,0,0,0,0,NA,0,0,0,NA,0,0,0,143,117,0,6,NA,691,NA,0.499276410998553,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,345,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
