CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,BRE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,150,1,97,79,34,5,2,38,7,7,10,1,0,1,281,9,290,499
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,151,1,117,78,25,5,1,24,11,5,11,1,0,0,278,13,291,636
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,152,2,141,124,23,19,4,42,12,7,8,1,0,1,382,9,391,874
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,153,2,171,216,64,25,5,53,17,22,16,0,0,1,590,31,621,1316
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,154,2,204,170,61,7,5,69,15,15,6,0,0,4,556,21,577,1139
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,155,2,233,165,41,12,3,62,8,7,13,1,0,1,546,16,562,980
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,5,578,470,107,43,10,135,40,29,25,1,0,2,1440,55,1495,3157
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,157,2,216,106,30,16,3,25,10,4,13,0,0,1,424,12,436,819
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,158,2,194,124,30,5,6,21,6,5,1,1,0,5,398,9,407,795
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,159,1,140,80,11,6,0,28,3,7,1,0,0,5,281,2,283,502
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,160,1,154,88,8,4,2,28,8,4,7,1,0,3,307,6,313,488
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,161,1,234,111,18,2,3,25,13,6,7,0,0,0,419,14,433,667
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,162,2,250,181,24,3,2,39,10,16,9,0,0,5,539,20,559,854
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,163,1,223,135,18,2,3,27,8,9,2,0,0,0,427,7,434,662
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,164,2,228,193,16,7,5,33,13,12,4,0,0,0,511,21,532,864
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,165,2,267,174,35,2,4,51,8,17,5,2,0,1,566,18,584,899
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,166,1,229,148,15,3,0,35,12,10,5,0,0,0,457,16,473,686
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,167,2,309,213,20,8,1,42,19,15,8,2,0,2,639,17,656,1073
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,168,2,318,156,33,7,2,44,14,7,6,1,0,2,590,7,597,991
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,169,2,154,88,28,5,1,21,6,8,2,0,0,0,313,14,327,763
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,170,1,164,94,8,2,4,28,5,3,6,0,0,0,314,6,320,528
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,171,1,184,93,24,4,1,35,9,2,3,2,0,2,359,6,365,598
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,172,1,179,130,27,4,6,26,6,8,9,0,0,0,395,20,415,694
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,173,2,287,161,28,4,5,61,17,10,4,1,0,1,579,17,596,1009
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,174,2,297,146,35,6,3,38,12,4,6,2,0,8,557,13,570,982
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,175,2,306,229,53,6,8,44,16,7,10,1,0,4,684,18,702,1304
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,176,1,166,86,21,1,2,29,7,1,4,0,0,2,319,21,340,552
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,177,1,175,81,21,3,2,23,8,4,2,0,0,0,319,4,323,532
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,178,1,125,68,33,4,0,24,7,6,7,2,0,5,281,8,289,505
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,179,2,215,136,23,6,4,51,5,7,4,0,1,1,453,17,470,860
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,180,2,235,121,35,13,2,37,12,2,8,2,0,2,469,11,480,910
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,181,2,285,189,56,10,4,53,14,6,7,0,1,1,626,24,650,1191
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,182,2,226,151,30,2,4,24,6,6,8,0,0,0,457,16,473,831
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,183,1,198,97,31,3,1,29,9,7,5,0,0,2,382,7,389,663
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,184,1,95,79,8,1,2,18,1,2,0,0,0,0,206,7,213,327
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,185,1,171,121,17,1,6,26,16,7,7,0,0,6,378,7,385,681
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,186,2,235,193,29,5,6,51,14,9,6,0,0,6,554,9,563,870
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,187,2,256,175,23,7,1,39,13,12,11,0,0,2,539,15,554,824
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,188,2,238,175,16,2,3,38,11,8,5,1,0,2,499,13,512,756
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,189,2,282,210,29,2,1,39,19,9,10,1,0,6,608,18,626,973
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,190,2,362,189,29,1,4,59,14,12,4,1,0,2,677,16,693,1134
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,191,2,284,178,29,4,2,55,17,19,3,0,0,0,591,13,604,943
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,192,1,217,135,35,2,1,41,11,7,7,1,0,2,459,14,473,735
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,193,2,259,216,25,7,6,46,12,16,11,0,0,4,602,28,630,896
