CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,579,2,75,116,10,29,11,217,18,7,9,19,6,,0,517,21,538,885
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,580,1,56,61,4,8,9,110,10,7,8,11,2,,0,286,13,299,495
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,581,2,88,108,3,18,6,157,13,22,10,13,5,,2,443,5,450,807
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,582,2,79,125,6,10,14,206,10,15,12,15,6,,1,498,20,519,1074
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,583,1,58,84,9,15,10,170,10,10,8,12,1,,1,387,15,403,652
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,584,2,61,133,9,16,9,167,13,13,11,13,3,,0,448,14,462,818
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,585,1,67,94,36,12,12,149,12,8,5,11,4,,0,410,18,428,685
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,586,2,147,159,16,28,8,320,24,18,21,16,7,,1,764,20,785,1337
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,587,2,95,160,17,19,17,297,23,21,20,47,4,,0,720,22,742,1316
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,588,2,95,104,3,14,5,152,9,18,6,15,0,,1,421,21,443,796
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,589,2,96,120,6,20,8,165,9,14,7,15,3,,0,463,14,477,819
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,590,2,145,117,6,11,2,199,11,18,11,29,0,,0,549,22,571,901
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,591,2,198,72,3,4,3,205,7,5,11,19,0,,3,527,20,550,910
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,592,2,192,53,5,6,2,211,7,9,11,28,1,,4,525,23,552,910
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,593,2,218,115,12,19,4,358,12,16,15,39,3,,3,811,53,867,1469
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,594,1,130,68,6,12,5,170,8,7,11,14,0,,0,431,12,443,742
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,595,1,124,56,1,8,1,133,3,9,12,10,1,,3,358,16,377,674
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,596,2,126,70,4,16,7,179,12,9,10,23,5,,1,461,20,482,791
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,597,1,146,55,3,7,6,157,4,7,7,19,0,,3,411,17,431,698
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,598,1,98,57,3,7,2,155,5,4,9,8,1,,5,349,13,367,573
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,599,2,178,111,8,21,7,215,14,14,19,17,4,,1,608,19,628,1068
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,600,2,134,148,6,26,16,293,22,17,13,25,8,,0,708,21,729,1277
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,601,2,122,132,9,19,18,195,15,15,18,22,65,,1,630,23,654,1120
