CASILLAS,CASILLAS_NUM,CASILLAS_TIPO,DISTRITO,MUNICIPIO,LISTA NOMINAL,P.A.N,P.R.I.,P.R.D.,P.C.,P.T.,P.V.E.M.,P.P.S.,P.D.M.,NO REG.,NULOS,TOTAL
111,1,B,5,COQUIMATLAN,548,251,171,3,1,0,0,0,0,0,5,431
111,2,C,5,COQUIMATLAN,549,212,189,2,3,2,0,0,2,0,3,413
112,1,B,5,COQUIMATLAN,135,25,68,0,0,0,0,1,0,0,1,95
112,4,E,5,COQUIMATLAN,179,49,61,6,0,0,0,0,3,0,4,123
113,1,B,5,COQUIMATLAN,300,105,87,4,5,4,0,0,0,0,11,216
114,1,B,5,COQUIMATLAN,175,86,25,10,0,0,0,0,1,0,2,124
115,1,B,5,COQUIMATLAN,224,68,85,3,0,0,1,0,0,0,5,162
116,1,B,5,COQUIMATLAN,530,175,161,11,2,0,2,0,0,0,9,360
116,2,C,5,COQUIMATLAN,531,160,155,18,1,0,1,0,1,0,8,344
117,1,B,5,COQUIMATLAN,592,175,215,14,0,2,1,0,0,0,11,418
118,1,B,5,COQUIMATLAN,351,123,123,5,1,2,1,0,3,0,8,266
118,4,E,5,COQUIMATLAN,86,22,22,6,0,0,0,0,0,0,2,52
119,1,B,5,COQUIMATLAN,325,78,128,3,0,1,1,0,0,0,8,219
119,4,E,5,COQUIMATLAN,113,22,51,0,0,0,0,0,0,0,4,77
,,,,,,,,,,,,,,,,
120,1,B,3,CUAUHTEMOC,602,62,138,196,1,2,0,0,2,0,19,420
120,2,C,3,CUAUHTEMOC,603,55,160,188,3,2,2,1,2,0,17,430
121,1,B,3,CUAUHTEMOC,433,47,123,135,0,0,0,0,1,0,6,312
121,2,C,3,CUAUHTEMOC,434,38,127,119,3,1,1,0,1,0,10,300
122,1,B,3,CUAUHTEMOC,443,30,117,161,0,1,1,0,0,0,12,322
122,2,C,3,CUAUHTEMOC,443,36,88,151,7,3,0,0,1,0,7,293
123,1,B,3,CUAUHTEMOC,519,41,121,175,3,4,0,1,0,0,10,355
123,2,C,3,CUAUHTEMOC,519,25,138,186,0,0,3,0,0,0,10,362
124,1,B,3,CUAUHTEMOC,470,32,171,121,0,0,0,0,0,0,10,334
124,2,C,3,CUAUHTEMOC,471,37,177,111,2,1,0,0,3,0,14,345
125,1,B,3,CUAUHTEMOC,576,65,208,132,1,1,2,0,1,0,7,417
125,4,E,3,CUAUHTEMOC,110,4,22,27,0,0,0,0,18,0,2,73
126,1,B,3,CUAUHTEMOC,475,66,165,94,0,0,0,0,7,0,7,339
126,2,C,3,CUAUHTEMOC,475,57,180,93,0,1,0,0,0,0,9,340
127,1,B,3,CUAUHTEMOC,401,40,165,94,0,1,0,0,3,0,6,309
127,2,C,3,CUAUHTEMOC,401,44,162,92,1,0,1,0,4,0,2,306
128,1,B,3,CUAUHTEMOC,404,39,149,88,0,0,1,0,7,0,11,295
128,2,C,3,CUAUHTEMOC,405,42,135,94,1,0,1,0,6,0,6,285
129,1,B,3,CUAUHTEMOC,464,56,155,111,0,0,1,0,4,0,9,336
129,2,C,3,CUAUHTEMOC,464,58,148,123,0,1,0,2,3,0,9,344
130,1,B,3,CUAUHTEMOC,555,74,183,114,0,0,0,0,2,0,9,382
130,2,C,3,CUAUHTEMOC,555,62,197,115,2,0,0,0,2,0,9,387
131,1,B,3,CUAUHTEMOC,577,63,123,179,1,1,0,1,1,0,22,391
131,4,E,3,CUAUHTEMOC,381,45,136,89,2,0,0,0,0,0,6,278
132,1,B,3,CUAUHTEMOC,547,62,242,83,0,0,0,0,1,0,9,397
132,2,C,3,CUAUHTEMOC,547,51,229,108,2,1,0,0,0,0,10,401
133,1,B,3,CUAUHTEMOC,167,13,69,24,1,0,0,0,0,0,8,115
133,4,E,3,CUAUHTEMOC,579,62,221,75,0,4,1,3,3,0,4,373
134,1,B,3,CUAUHTEMOC,609,94,239,78,4,4,0,0,1,0,5,425
134,2,C,3,CUAUHTEMOC,610,78,231,80,8,2,2,0,4,0,6,411
135,1,B,3,CUAUHTEMOC,487,48,160,97,8,5,0,0,0,0,6,324
