CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,298,B,94,66,10,8,5,5,0,1,3,1,3,5,1,0,202,6,208,522,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,298,C01,88,79,3,2,9,6,2,4,9,2,4,5,0,0,213,8,221,521,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,298,C02,89,65,12,5,8,5,2,7,5,2,6,4,1,0,211,7,218,521,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,299,B,125,76,12,9,6,3,3,21,11,6,5,6,2,0,285,10,295,602,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,299,C01,112,90,10,4,16,1,5,27,5,2,3,9,0,0,284,10,294,601,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,300,B,126,74,13,7,14,5,2,22,8,4,10,7,0,1,293,8,301,663,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,300,C01,100,94,8,9,22,9,3,16,6,5,6,9,0,0,287,13,300,663,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,300,C02,125,85,8,9,13,5,3,18,8,3,5,8,1,0,291,5,296,662,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,300,C03,135,89,8,9,17,3,3,18,8,5,5,10,3,0,313,4,317,662,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,300,C04,129,70,13,2,18,6,1,14,5,1,7,8,3,0,277,9,286,662,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,301,B,106,97,8,11,12,1,4,11,7,5,5,3,0,0,270,13,283,529,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,301,C01,130,91,4,8,14,2,2,12,9,3,2,9,1,0,287,11,298,528,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,302,B,117,54,6,6,8,0,2,9,6,2,2,4,4,0,220,8,228,432,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,303,B,152,121,5,8,19,4,3,5,8,1,11,6,1,0,344,9,353,691,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,304,B,93,82,7,5,15,5,1,8,11,3,6,5,1,0,242,5,247,494,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,304,C01,114,77,6,11,19,4,0,4,6,0,3,7,0,0,251,11,262,494,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,305,B,128,87,6,17,15,7,4,6,9,1,2,7,1,1,291,8,299,583,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,306,B,67,55,2,10,4,3,0,8,7,1,3,2,0,0,162,3,165,280,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,307,B,84,65,4,6,12,1,4,10,14,6,4,5,0,1,216,9,225,427,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,308,B,112,89,4,8,9,4,2,3,4,6,2,9,0,0,252,1,253,513,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,308,C01,125,84,4,4,11,6,4,4,2,0,4,12,0,0,260,9,269,513,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,309,B,109,94,4,7,14,7,5,10,10,8,5,13,0,0,286,10,296,616,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,309,C01,115,91,6,10,12,4,5,9,10,4,5,5,2,0,278,15,293,616,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,310,B,122,93,14,16,27,7,2,9,17,6,2,7,1,0,323,9,332,655,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,310,C01,114,94,9,14,15,8,2,15,13,0,8,3,2,0,297,12,309,655,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,310,C02,121,64,7,23,23,3,3,15,11,3,6,9,0,0,288,10,298,654,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,311,B,150,95,8,5,23,9,3,8,10,5,2,12,1,0,331,9,340,746,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,311,C01,134,99,10,2,10,2,3,12,12,3,6,11,0,0,304,14,318,745,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,312,B,132,143,5,4,22,6,8,14,7,1,4,7,0,0,353,9,362,644,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,313,B,172,124,11,11,17,11,2,18,5,4,6,9,1,2,393,9,402,748,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,313,C01,168,101,9,16,25,7,3,10,7,5,7,7,1,0,366,20,386,748,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,314,B,122,90,4,6,14,4,2,7,9,1,5,4,1,0,269,11,280,546,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,315,B,51,39,6,3,11,3,1,7,2,0,1,5,0,0,129,1,130,278,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,316,B,115,99,4,4,6,4,0,6,3,10,1,9,3,1,265,11,276,595,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,316,C01,110,73,8,4,24,2,0,6,5,6,2,5,0,1,246,10,256,595,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,317,B,98,78,7,5,9,6,2,6,5,0,5,4,2,0,227,2,229,481,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,317,C01,110,74,8,3,12,2,1,5,5,1,2,8,0,0,231,6,237,480,,,,
