id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI-PVEM,PRD,PT,PC,No Registrados,Nulos,Total
16,14/11/2004,12,Ayuntamientos,16,0,2,C,Contigua,0,50,Lazaro Cardenas,655,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,849,11,94,101,9,0,1,7,223
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,50,Lazaro Cardenas,574,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,853,11,64,71,4,0,0,5,155
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,50,Lazaro Cardenas,626,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,854,11,61,101,7,0,0,10,190
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,50,Lazaro Cardenas,742,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,855,32,86,92,16,0,0,9,235
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,50,Lazaro Cardenas,578,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,859,10,55,79,4,0,0,4,152
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,50,Lazaro Cardenas,578,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,859,11,68,67,10,0,0,6,162
16,14/11/2004,12,Ayuntamientos,16,0,2,C,Contigua,0,50,Lazaro Cardenas,736,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,860,32,91,71,8,0,0,8,210
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,54,Morelia,618,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,1234,62,61,65,11,0,0,0,199
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,6,Apatzingan,470,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,92,4,135,100,0,0,0,3,242
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,6,Apatzingan,586,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,98,11,137,125,0,0,1,6,280
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,6,Apatzingan,576,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,99,5,100,108,2,0,0,11,226
16,14/11/2004,12,Ayuntamientos,16,0,1,E,Extraordinaria,0,6,Apatzingan,146,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,105,2,32,49,2,0,0,2,87
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,6,Apatzingan,519,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,108,3,92,91,0,0,1,8,195
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,6,Apatzingan,536,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,109,8,115,131,4,0,0,5,263
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,6,Apatzingan,536,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,109,4,104,115,0,0,0,10,233
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,6,Apatzingan,545,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,111,5,142,107,0,0,1,2,257
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,6,Apatzingan,545,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,111,10,131,128,1,0,0,7,277
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,9,Ario,346,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,167,22,60,82,37,0,1,4,206
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,9,Ario,269,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,169,90,29,21,17,13,0,5,175
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,10,Arteaga,489,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,174,6,146,166,4,0,0,2,324
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,10,Arteaga,582,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,176,1,111,199,2,0,0,6,319
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,10,Arteaga,335,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,177,6,57,80,2,0,0,0,145
16,14/11/2004,12,Ayuntamientos,16,0,1,E,Extraordinaria,0,10,Arteaga,160,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,177,0,55,33,0,0,0,7,95
