id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PRI-PANAL,NoRegistrados,Nulos,TOTAL
27,18/10/2009,11,Regidores,27,11,842,2,C,Contigua,0,JALPA DE MENDEZ,,10,JALPA DE MENDEZ,1944,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,115,66,117,154,3,14,1,3,0,9,482
27,18/10/2009,11,Regidores,27,11,843,1,B,Basica,0,JALPA DE MENDEZ,,10,JALPA DE MENDEZ,1098,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,103,100,33,135,2,5,14,0,0,7,399
27,18/10/2009,11,Regidores,27,7,661,1,B,Basica,0,CUNDUACAN,,6,CUNDUACAN,887,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1,131,154,11,1,7,13,0,0,16,334
27,18/10/2009,11,Regidores,27,9,746,1,B,Basica,0,HUIMANGUILLO,,8,HUIMANGUILLO,1243,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,12,238,157,18,0,0,2,0,0,12,439
27,18/10/2009,11,Regidores,27,9,748,1,B,Basica,0,HUIMANGUILLO,,8,HUIMANGUILLO,1556,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,64,112,140,20,2,0,2,0,0,13,353
27,18/10/2009,11,Regidores,27,9,748,1,C,Contigua,0,HUIMANGUILLO,,8,HUIMANGUILLO,1556,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,75,80,150,25,0,0,0,0,0,9,339
27,18/10/2009,11,Regidores,27,9,748,2,C,Contigua,0,HUIMANGUILLO,,8,HUIMANGUILLO,1556,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,48,85,141,22,2,1,1,1,0,9,310
27,18/10/2009,11,Regidores,27,9,756,1,B,Basica,0,HUIMANGUILLO,,8,HUIMANGUILLO,915,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,37,129,106,18,1,2,3,0,0,8,304
27,18/10/2009,11,Regidores,27,12,847,1,C,Contigua,0,JONUTA,,11,JONUTA,1403,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2,198,252,0,100,0,1,1,0,10,564
27,18/10/2009,11,Regidores,27,12,850,1,B,Basica,0,JONUTA,,11,JONUTA,403,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,140,160,1,15,0,0,0,0,7,323
27,18/10/2009,11,Regidores,27,12,854,1,B,Basica,0,JONUTA,,11,JONUTA,186,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,64,64,0,26,0,0,1,0,2,157
27,18/10/2009,11,Regidores,27,12,856,1,B,Basica,0,JONUTA,,11,JONUTA,305,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,110,106,1,45,0,0,0,0,2,264
27,18/10/2009,11,Regidores,27,12,861,1,B,Basica,0,JONUTA,,11,JONUTA,1194,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,138,198,2,166,0,0,0,0,8,515
27,18/10/2009,11,Regidores,27,7,665,2,C,Contigua,0,CUNDUACAN,,6,CUNDUACAN,1612,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,4,150,105,5,7,1,6,0,0,5,283
27,18/10/2009,11,Regidores,27,7,667,1,B,Basica,0,CUNDUACAN,,6,CUNDUACAN,891,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,5,98,160,4,4,3,0,0,0,18,292
27,18/10/2009,11,Regidores,27,8,669,1,C,Contigua,0,EMILIANO ZAPATA,,7,EMILIANO ZAPATA,1113,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,190,174,5,0,1,0,4,2,1,6,383
27,18/10/2009,11,Regidores,27,8,670,1,C,Contigua,0,EMILIANO ZAPATA,,7,EMILIANO ZAPATA,827,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,186,98,10,0,1,0,4,0,0,3,302
27,18/10/2009,11,Regidores,27,9,760,1,B,Basica,0,HUIMANGUILLO,,8,HUIMANGUILLO,1249,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,83,187,76,15,1,0,1,0,0,15,378
27,18/10/2009,11,Regidores,27,9,765,1,B,Basica,0,HUIMANGUILLO,,8,HUIMANGUILLO,1761,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,27,185,84,22,2,0,4,1,0,16,341
27,18/10/2009,11,Regidores,27,9,769,1,B,Basica,0,HUIMANGUILLO,,8,HUIMANGUILLO,897,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,29,76,114,18,3,0,7,0,1,14,262
27,18/10/2009,11,Regidores,27,13,872,1,C,Contigua,0,MACUSPANA,,12,MACUSPANA,2011,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,9,182,78,44,0,11,7,0,0,7,338
